127.0.0.1 - - [20/Jun/2025:10:12:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/index.jsp HTTP/1.1" 200 15418
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/md_recommed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/best.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/ai_recommed.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/hangang.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/kyobo_best.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/kyobo_best1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/peoples.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/kyobo_made.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/kyobo_pod.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/js/event.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/logo_book.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/serch_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/cart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/prfile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/slider1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/slider2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/slider5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/slider3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/sale1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/slider4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/sale2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/sale3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu4.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu5.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu6.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu9.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jun/2025:10:12:14 +0900] "GET /kyobo/img/mini_menu7.svg HTTP/1.1" 304 -
